ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,TOTAL PAID,TOTAL_SPEND,
2466,100000,2,3,1,29,4,3,2,0,0,-1,1,104410,788723,
2467,180000,1,2,2,32,-1,-1,-1,-1,-1,-1,1,22427,18767,
2468,80000,2,1,2,25,0,0,0,0,0,0,0,2397,24473,
2469,220000,1,1,2,31,0,0,0,0,0,0,0,35126,952451,
2470,170000,2,2,2,26,0,0,0,0,0,0,0,26032,781641,
2471,140000,2,1,2,29,2,2,2,2,2,2,1,16897,591690,
2472,20000,1,1,2,29,2,2,3,2,2,2,1,4300,69255,
2473,100000,2,3,1,38,0,0,0,0,0,0,0,19900,400640,
2474,50000,2,3,1,47,0,0,0,0,0,0,0,11649,181845,
2475,300000,2,2,2,30,-1,-1,-1,-1,2,-1,0,13002,11049,
2476,30000,2,3,2,25,0,0,0,0,2,2,0,8247,170062,
2477,50000,1,3,1,53,0,0,0,0,0,0,0,10028,206538,
2478,160000,1,2,2,37,-1,-1,0,0,0,0,0,78365,184842,
2479,80000,1,2,2,27,0,0,0,0,2,0,0,17707,286548,
2480,140000,2,2,1,28,0,0,0,0,0,0,0,25900,690931,
2481,20000,1,2,2,23,1,2,0,0,0,0,1,4754,115242,
2482,50000,1,3,1,51,-1,-1,-1,-1,-1,0,0,52106,66122,
2483,200000,2,1,2,34,1,-2,-2,-1,2,2,1,3067,3461,
2484,80000,2,2,1,23,-2,-2,-2,-2,-2,-2,1,2100,2490,
2485,80000,2,2,2,27,1,2,2,0,0,0,0,15613,491481,
2486,210000,2,1,2,39,-1,-1,-1,-1,-2,-2,0,2880,8880,
2487,260000,1,2,1,28,0,0,0,-1,-1,-1,0,17985,49896,
2488,200000,1,2,1,46,1,-1,-1,-1,-1,-1,1,7718,7710,
2489,110000,2,2,1,33,2,2,2,2,2,0,1,21423,660826,
2490,10000,1,2,2,23,0,0,0,0,2,2,0,4808,52781,
2491,200000,1,1,2,30,0,0,2,0,0,2,0,21000,467169,
2492,300000,1,1,2,31,-1,-1,-1,-1,-1,-1,1,5840,2780,
2493,360000,2,1,1,39,-1,-1,-1,-1,-2,-2,0,4230,10806,
2494,290000,2,2,1,32,0,0,0,0,0,0,0,19300,473104,
2495,30000,1,3,1,26,1,2,0,0,0,0,1,3550,123967,
2496,300000,1,1,1,47,-2,-2,-2,-2,-1,-1,0,42860,21686,
2497,300000,2,1,2,28,-1,-1,-1,-1,-1,-1,0,46013,46307,
2498,210000,2,3,2,45,-2,-2,-1,-1,-2,-2,0,12247,3944,
2499,50000,1,3,1,36,0,0,0,0,0,0,1,14291,419618,
2500,340000,2,1,2,26,0,0,0,0,0,0,0,50922,1156186,
2501,330000,1,1,1,34,0,0,0,0,0,0,1,46122,761035,
2502,220000,2,1,2,28,0,0,0,0,0,0,0,75050,177212,
2503,100000,2,2,2,30,0,0,0,0,-2,-2,0,2511,71659,
2504,260000,1,1,2,30,-1,-1,-1,-1,-1,-1,1,2394,2394,
2505,180000,1,2,2,30,-1,-1,-1,-1,-1,-1,0,32611,32304,
2506,200000,1,2,1,44,-1,-1,2,0,0,-1,0,2340,3510,
2507,110000,2,3,2,41,0,0,0,0,0,0,1,20344,408389,
2508,20000,1,2,2,48,0,0,0,2,0,0,1,5680,59731,
2509,60000,1,1,2,25,0,0,0,0,0,0,0,10500,102352,
2510,30000,1,3,1,28,2,2,2,2,2,4,1,7371,152918,
2511,30000,2,1,2,24,2,2,2,0,0,0,1,5847,183414,
2512,420000,2,1,1,37,-1,-1,-1,-1,-1,-1,1,86782,86368,
2513,340000,1,1,1,34,-1,-1,-1,-1,2,0,1,166126,398874,
2514,270000,1,2,1,38,1,-2,-2,-2,-2,-2,0,0,0,
2515,360000,2,4,2,36,-2,-2,-1,0,0,0,0,54325,34989,
2516,230000,2,1,2,25,-1,-1,-1,-1,-1,-1,0,2389,2826,
2517,50000,2,2,1,33,0,0,0,0,0,0,0,8966,259796,
2518,230000,2,1,2,28,-2,-2,-2,-2,-2,-2,0,5639,5629,
2519,200000,2,1,1,38,-2,-2,-2,-2,-2,-2,0,9773,9148,
2520,100000,2,2,2,24,0,0,0,0,0,0,0,25138,609058,
2521,150000,2,2,1,47,0,0,0,0,0,0,0,35608,871527,
2522,50000,1,3,2,28,0,0,0,0,0,0,0,48690,262412,
2523,60000,1,2,2,29,0,0,0,0,0,0,0,14438,171555,
2524,70000,2,2,2,30,0,0,0,2,0,0,0,10000,57848,
2525,20000,1,2,2,23,-1,0,-1,0,0,0,0,17316,48374,
2526,50000,2,2,2,25,0,0,0,0,0,0,0,6800,107658,
2527,500000,2,1,1,33,2,2,-1,-1,-2,-1,0,5812,8760,
2528,390000,1,3,1,49,1,-2,-2,-2,-2,-2,0,5112,5112,
2529,90000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,0,0,
2530,10000,1,2,2,22,0,0,0,-1,-1,-2,0,6242,12823,
2531,30000,1,2,2,24,-1,-1,-1,0,0,-2,1,1170,2340,
2532,240000,1,3,1,35,1,-2,-2,-1,-1,-2,1,970,958,
2533,180000,2,1,2,29,-1,0,0,0,0,0,0,4636,139781,
2534,70000,2,2,2,23,0,0,0,0,0,0,0,16272,156693,
2535,50000,1,2,2,26,-1,-1,-1,-1,-1,-1,0,6840,6840,
2536,20000,1,3,1,46,0,0,0,0,0,0,0,5550,79884,
2537,260000,2,2,1,36,0,0,0,0,0,0,1,45103,1262329,
2538,160000,1,2,1,26,-2,-2,-2,-2,-2,-2,1,0,0,
2539,250000,2,1,1,42,0,0,-2,-2,-2,-2,0,0,25298,
2540,20000,1,1,1,49,-1,-1,-1,-1,-2,-2,0,5596,6640,
2541,210000,1,3,1,37,-1,-1,-1,-1,-1,-1,0,11214,11215,
2542,100000,2,1,1,35,2,0,0,2,2,2,1,16800,313920,
2543,100000,1,1,2,28,0,0,0,0,0,0,0,46267,498426,
2544,230000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,9660,11985,
2545,20000,1,2,2,25,0,0,0,0,0,0,1,6500,57168,
2546,40000,1,1,2,24,0,0,0,0,0,0,1,4590,99898,
2547,100000,1,3,1,51,-1,-1,-1,0,0,0,0,164044,298512,
2548,20000,1,3,2,26,0,0,0,0,0,0,0,6454,112013,
2549,140000,1,2,2,32,0,0,0,0,0,0,0,16673,144050,
2550,50000,1,3,2,23,2,2,2,0,0,0,0,11973,201214,
2551,30000,2,2,2,26,0,0,-1,0,0,0,0,39496,130362,
2552,80000,1,2,2,28,0,0,0,-2,-2,-2,0,1315,20403,
2553,20000,2,3,1,31,0,0,0,0,0,0,1,4038,89202,
2554,210000,2,1,2,26,0,0,0,0,-1,-1,0,20171,38162,
2555,220000,2,1,0,33,-1,-1,-1,-1,-1,-1,0,5588,8474,
2556,150000,2,1,1,30,0,0,0,0,0,0,0,19040,220356,
2557,200000,1,1,2,28,-1,-1,-1,-1,-1,-1,0,26391,22951,
2558,200000,2,1,2,28,2,2,2,2,0,0,1,16750,348535,
2559,50000,1,2,2,39,0,0,0,0,0,0,0,6001,87193,
2560,80000,2,1,2,28,0,0,0,0,2,2,0,8401,84754,
2561,310000,2,1,2,32,-2,-2,-2,-2,-2,-2,1,92613,105386,
2562,210000,1,1,2,29,0,0,0,0,2,0,0,38277,898706,
2563,140000,1,1,1,40,2,0,0,2,2,2,1,34653,824705,
2564,20000,2,2,1,32,0,0,0,0,0,0,0,7400,103478,
2565,10000,2,1,2,23,1,-2,-2,-2,-2,-2,0,0,0,
2566,250000,2,1,2,30,0,-1,2,0,0,-1,0,48093,57856,
2567,280000,1,1,2,31,1,-1,-1,0,0,-2,0,6278,6760,
2568,210000,1,2,1,48,-1,-1,-1,0,-1,-1,0,52288,69274,
2569,10000,1,2,2,54,0,0,2,2,0,0,0,5899,47747,
2570,60000,2,3,1,59,0,0,0,0,-1,0,0,61711,285524,
2571,180000,2,1,2,38,0,0,-2,-2,-2,-2,0,0,184650,
2572,10000,2,1,2,31,1,-2,-2,-2,-2,-2,0,0,0,
2573,200000,2,1,1,41,-2,-1,2,0,-1,-1,0,10612,17770,
2574,120000,2,1,2,29,-1,-1,-1,-2,-1,-1,0,4994,2792,
2575,160000,2,2,1,28,0,0,0,0,0,0,0,14100,344125,
2576,180000,1,1,1,48,0,0,0,0,0,0,0,42000,997633,
2577,60000,2,3,1,42,0,0,0,0,0,0,0,9986,291658,
2578,80000,1,2,1,27,0,0,0,0,0,0,0,14000,309279,
2579,200000,1,1,2,27,-1,0,-1,-1,-1,-1,0,18105,32079,
2580,20000,2,3,2,22,1,2,0,0,2,2,1,6987,118790,
2581,360000,2,2,2,31,0,0,-2,-2,-2,-2,0,0,17582,
2582,140000,2,1,2,43,1,2,0,0,0,0,0,30303,850233,
2583,110000,2,3,1,46,0,0,2,2,0,0,1,27710,607521,
2584,360000,2,1,1,33,1,-2,-2,-1,0,0,0,18967,30867,
2585,30000,2,1,2,22,-1,-1,-1,0,0,-2,0,9158,13709,
2586,100000,1,2,2,25,0,0,0,0,-2,-2,0,37200,203786,
2587,60000,1,3,2,34,0,0,0,0,0,0,1,8657,224665,
2588,130000,2,1,2,32,1,-2,-1,-1,-2,-1,0,10426,5026,
2589,240000,2,2,2,34,-1,-1,-1,-1,-1,0,0,32466,37852,
2590,210000,2,2,1,35,2,2,2,0,0,2,1,12768,378534,
2591,360000,1,1,2,25,-1,-1,-1,0,0,-1,0,25269,30379,
2592,30000,2,2,2,22,1,2,2,0,0,-2,0,1150,78721,
2593,480000,1,1,1,49,1,-1,-1,-1,-1,0,0,496249,482145,
2594,90000,2,6,2,49,-1,-1,-2,-2,-2,-2,0,11135,1722,
2595,50000,2,1,1,42,0,0,0,0,0,0,0,25000,65754,
2596,20000,1,3,2,41,0,0,0,0,0,0,0,4500,60506,
2597,160000,2,2,2,27,-2,-2,-1,-1,-1,0,0,183348,17077,
2598,90000,2,2,2,24,0,0,0,0,0,0,0,6440,48669,
2599,300000,2,5,1,34,-2,-2,-2,-2,-2,-2,0,0,9474,
2600,500000,1,1,1,43,-1,-1,-1,-1,-1,-1,0,7138,6292,
2601,130000,2,3,2,36,1,-2,-2,-2,-2,-2,1,0,0,
2602,250000,1,3,1,62,0,0,0,0,0,0,0,30000,220136,
2603,10000,1,3,2,25,2,0,0,0,0,-2,1,3300,22446,
2604,340000,1,1,2,30,0,0,-1,-1,-1,0,0,36728,37674,
2605,60000,1,3,2,24,-1,0,0,0,0,0,0,16990,133523,
2606,50000,1,2,1,47,0,0,0,0,0,0,0,24739,198621,
2607,170000,1,2,2,34,-1,-1,2,0,-1,-1,0,7336,30071,
2608,490000,1,3,1,51,-1,-1,-1,-1,-1,-1,1,1572,1719,
2609,20000,2,2,1,26,0,0,0,0,2,0,1,6377,109452,
2610,550000,1,2,1,47,0,0,0,0,0,-2,0,35000,230325,
2611,340000,2,2,2,39,0,0,0,0,0,0,0,16000,367798,
2612,10000,1,2,2,32,0,0,0,0,0,0,0,2780,48028,
2613,230000,2,2,2,25,-2,-2,-2,-2,-2,-2,0,40666,39758,
2614,30000,1,2,1,39,1,2,0,0,0,0,0,5572,173330,
2615,200000,2,2,2,42,-1,-1,0,0,-2,-1,0,194087,291680,
2616,450000,2,1,1,37,0,0,-1,-1,-1,-1,0,44205,52626,
2617,380000,1,3,1,44,0,0,0,0,0,0,1,56348,1715443,
2618,50000,2,2,1,31,2,0,0,0,0,0,1,5737,139825,
2619,80000,2,1,2,27,0,0,0,0,0,0,0,19034,149291,
2620,150000,2,2,1,42,1,-2,-2,-1,-1,-1,1,14564,11257,
2621,50000,2,2,2,44,0,0,0,0,-1,-1,0,11860,150133,
2622,210000,2,1,2,39,1,-2,-2,-2,-2,-2,0,0,0,
2623,100000,2,2,2,24,0,0,0,0,0,2,0,21500,395025,
2624,100000,1,2,2,38,0,0,0,0,0,-1,0,43943,150560,
2625,500000,1,1,1,45,0,0,0,0,0,0,0,11135,28920,
2626,30000,2,3,1,58,0,0,0,0,0,0,0,4349,55843,
2627,50000,1,2,2,46,0,-1,0,0,0,0,0,42760,164540,
2628,50000,2,2,2,23,-2,-2,-2,-2,-2,-2,0,0,0,
2629,420000,2,2,1,36,-1,-1,-1,-1,-1,-1,0,18641,21804,
2630,30000,2,2,1,32,2,2,0,0,0,-1,1,11269,127806,
2631,240000,1,1,2,32,0,0,0,0,0,0,0,59565,1183461,
2632,80000,2,3,1,55,0,0,0,0,0,0,0,12500,361877,
2633,330000,1,1,2,45,0,0,0,0,0,0,1,45501,1458473,
2634,50000,1,2,1,30,1,2,2,0,0,0,1,7440,227028,
2635,200000,2,1,1,42,-2,-2,-2,-2,-2,-2,1,665,0,
2636,210000,2,1,1,34,1,-2,-1,-1,2,-1,0,3512,1514,
2637,130000,1,2,2,31,1,2,2,2,0,0,0,8959,371763,
2638,390000,1,1,2,28,-1,0,0,0,0,0,0,40901,206714,
2639,100000,1,3,1,40,0,0,-1,-1,-2,-2,0,44377,22957,
2640,140000,2,1,1,33,0,0,0,0,0,0,0,26000,484459,
2641,80000,2,3,1,35,2,2,2,2,2,0,1,15762,436666,
2642,50000,2,3,1,42,1,3,4,3,2,0,1,6685,270218,
2643,50000,1,2,2,25,0,0,0,0,0,3,0,10672,153350,
2644,360000,1,1,1,39,1,-2,-2,-2,-1,-1,0,7711,7711,
2645,170000,2,2,1,49,1,2,0,0,0,0,1,12365,632546,
2646,50000,1,2,2,41,0,0,0,0,0,0,0,24896,192572,
2647,310000,2,1,2,25,2,0,0,0,0,0,1,37157,1203083,
2648,210000,1,1,2,31,-1,-1,-1,-1,-1,-1,1,1763,1956,
2649,140000,1,2,1,37,0,0,0,0,0,0,0,10668,357460,
2650,150000,2,1,2,37,0,0,0,0,0,0,0,23509,663727,
2651,170000,1,1,1,40,-1,-1,-1,-1,-1,0,1,16210,17210,
2652,260000,2,1,2,25,-1,2,-1,0,0,0,1,22152,42394,
2653,170000,2,1,2,26,0,0,0,0,2,0,0,25350,615975,
2654,310000,2,1,2,35,1,-2,-1,0,0,0,0,90757,179912,
2655,50000,2,3,2,23,0,0,0,0,0,2,0,10099,203398,
2656,260000,2,1,1,35,2,2,-2,-1,0,0,1,6895,11626,
2657,100000,1,1,2,27,0,0,2,2,2,2,1,14340,222126,
2658,40000,2,2,1,25,0,0,0,0,2,2,0,12938,243730,
2659,180000,2,1,1,46,1,2,2,2,2,2,0,39000,558400,
2660,50000,1,3,1,41,2,2,2,0,0,0,0,8700,164902,
2661,200000,1,1,2,29,-1,-1,-1,0,-1,-1,1,4203,8159,
2662,320000,2,2,1,53,0,0,0,0,0,0,0,30900,255310,
2663,220000,2,1,2,45,-1,-1,-1,-1,-1,-1,0,29512,30054,
2664,180000,1,2,1,46,0,0,0,0,0,0,0,36000,299234,
2665,50000,2,2,2,36,0,0,0,0,0,2,1,7300,243532,
2666,50000,2,2,2,22,0,0,0,0,0,-1,0,35534,132991,
2667,150000,2,1,2,32,0,0,0,0,0,0,0,24398,431656,
2668,120000,2,1,1,38,-1,-1,2,-1,-1,-1,0,59750,60794,
2669,30000,1,2,2,34,0,0,0,0,0,0,0,9746,177978,
2670,10000,1,5,1,43,-1,0,0,0,-2,-2,1,3537,30993,
2671,380000,1,1,2,34,-2,-2,-2,-2,-2,-2,0,30861,65661,
2672,320000,2,1,1,38,1,-2,-2,-2,-2,-2,1,0,0,
2673,30000,2,2,2,41,0,-1,-1,0,-1,2,0,3511,4419,
2674,470000,1,2,2,29,0,0,0,0,0,0,0,97045,437481,
2675,80000,2,3,1,40,0,0,0,0,0,0,0,10179,311800,
2676,20000,1,2,1,60,-1,-1,2,0,0,0,0,4500,59298,
2677,120000,1,1,1,51,0,0,2,0,0,0,0,30246,750331,
2678,150000,2,1,2,37,1,-2,-1,0,0,0,0,596,1776,
2679,200000,2,2,2,43,0,0,0,0,0,0,0,46084,1132606,
2680,20000,1,2,2,40,0,0,0,0,0,-2,0,5327,147362,
2681,170000,2,3,1,36,0,0,0,0,0,0,0,18408,485264,
2682,150000,2,1,2,34,-1,-1,-2,-1,0,-1,0,1835,2925,
2683,160000,1,2,2,30,-1,-1,-1,-1,-1,-1,0,1580,1896,
2684,280000,2,1,2,32,-1,-1,-1,-1,-1,-1,0,56445,83024,
2685,60000,1,1,1,42,2,0,0,0,0,2,1,13900,262857,
2686,100000,1,3,1,44,0,0,0,0,0,0,0,16035,266122,
2687,360000,1,2,2,48,0,0,0,0,0,-2,0,87192,272970,
2688,500000,2,1,1,44,-2,-1,0,0,0,-1,0,914620,1220045,
2689,290000,2,1,2,30,0,0,0,0,0,0,1,54500,1494563,
2690,160000,2,1,2,31,-2,-2,-2,-1,-1,-1,0,628,450,
2691,50000,1,2,1,47,0,0,0,0,0,0,0,6457,142346,
2692,250000,2,2,1,35,0,0,0,0,0,0,0,47000,261281,
2693,350000,1,1,1,42,-1,-1,-1,-1,-1,-1,0,31261,24410,
2694,100000,2,2,1,22,0,0,0,0,0,0,0,22194,592946,
2695,30000,1,2,2,33,1,2,0,0,0,0,0,6288,180266,
2696,450000,2,1,1,36,1,-1,-1,-2,-2,-2,0,5000,5000,
2697,20000,2,3,2,40,-1,-1,0,0,0,0,0,12894,38524,
2698,30000,2,3,2,26,0,0,0,0,0,0,0,9307,168659,
2699,150000,2,3,2,47,0,0,0,2,0,0,0,9768,404082,
2700,30000,1,2,1,36,1,3,2,0,0,0,0,4517,130276,
2701,10000,1,3,2,23,0,0,0,0,0,0,0,6400,26920,
2702,50000,2,3,2,47,0,0,0,0,2,0,0,7897,120474,
2703,50000,2,1,2,22,0,-1,-1,-1,-1,-1,0,8414,10558,
2704,130000,2,2,2,23,2,2,2,0,0,0,0,7500,51631,
2705,50000,2,3,2,22,0,0,0,0,0,0,0,11862,225157,
2706,180000,2,2,2,25,0,0,0,0,0,0,0,64708,806732,
2707,30000,1,2,1,47,2,2,2,0,0,0,1,13716,161992,
2708,60000,2,2,2,24,0,0,0,0,0,0,0,10748,131332,
2709,200000,1,1,2,26,0,0,0,0,0,0,0,34188,148739,
2710,30000,2,3,2,23,0,0,-1,-1,-1,0,0,2560,39082,
2711,320000,2,2,2,36,0,0,0,0,0,0,0,83340,1066247,
2712,360000,2,1,1,37,-1,2,2,-2,-2,-2,0,14,3053,
2713,60000,2,1,1,39,0,0,2,0,0,0,0,19000,319081,
2714,50000,2,2,2,28,-2,-2,-1,0,0,0,0,12735,41629,
2715,30000,1,2,2,35,2,2,2,2,2,2,0,6500,171644,
2716,50000,2,2,1,31,1,2,0,0,0,0,0,4308,142930,
2717,70000,2,1,2,24,0,0,0,0,0,0,0,8828,198908,
2718,310000,1,1,2,44,1,-1,-1,-2,-2,-2,0,7323,7239,
2719,170000,2,2,2,39,-1,-1,-1,-1,-1,-1,0,32156,27297,
2720,150000,1,1,1,49,-2,-2,-2,-2,-2,-2,0,10353,325482,
2721,120000,2,1,2,30,-1,-1,-1,-1,-1,-1,0,6285,8634,
2722,100000,2,1,2,33,0,0,0,0,0,0,0,14832,285959,
2723,140000,1,1,2,41,2,2,2,0,0,0,1,67300,849794,
2724,180000,2,3,1,47,-1,0,0,0,0,0,0,27158,69894,
2725,20000,2,3,1,51,0,0,-1,0,0,-2,0,1780,32824,
2726,80000,2,2,2,25,1,-2,-2,-2,-2,-2,0,0,0,
2727,200000,2,2,1,39,0,0,0,0,0,0,0,16492,589949,
2728,200000,1,2,2,27,0,0,2,0,0,0,0,7247,151247,
2729,30000,1,3,1,42,0,0,2,-1,-1,2,0,34730,84562,
2730,250000,2,2,2,40,-2,-2,-2,-2,-2,-2,0,10447,6167,
2731,50000,1,3,2,30,1,2,3,2,2,2,0,7200,197742,
2732,250000,1,1,2,31,-2,-2,-2,-2,-2,-2,1,14122,12333,
2733,140000,2,1,2,25,0,0,0,0,0,0,0,11700,158836,
2734,170000,2,2,2,31,2,-1,-1,0,0,0,0,12235,18490,
2735,240000,2,2,2,47,-2,-2,-2,-2,-2,-2,0,84032,44818,
2736,140000,2,1,1,37,0,0,0,0,0,0,0,28949,740073,
2737,50000,2,2,1,28,0,0,0,0,0,0,0,6814,213316,
2738,240000,2,2,1,47,1,2,2,2,2,2,1,35839,797825,
2739,420000,2,2,1,57,-1,-1,-1,-1,-1,-1,0,14119,12863,
2740,220000,1,1,1,53,-1,-1,-1,-1,-1,-1,0,14175,9901,
2741,70000,2,2,1,28,0,0,0,0,0,0,0,7051,162937,
2742,90000,1,2,2,28,0,0,0,0,0,0,0,9165,288059,
2743,220000,2,1,1,40,-2,-2,-2,-2,-2,-2,0,12096,0,
2744,200000,2,1,2,27,0,0,0,0,0,0,0,14091,29307,
2745,240000,1,3,1,55,0,0,0,0,0,0,0,53247,1234051,
2746,310000,2,3,2,28,0,0,-1,-1,-1,-1,0,46753,70713,
2747,80000,2,2,1,34,2,2,2,0,0,0,1,16316,405770,
2748,290000,2,2,1,38,0,0,0,0,0,0,0,35010,910730,
2749,260000,1,2,1,43,0,0,0,0,0,0,1,58038,904537,
2750,120000,1,1,1,43,1,-2,-2,-2,-2,-2,1,0,0,
2751,260000,2,1,1,32,-1,-1,2,-1,-1,-1,0,8618,7749,
2752,360000,2,2,2,39,-1,2,2,-2,-2,-2,0,0,1310,
2753,30000,2,3,1,36,0,0,0,0,0,0,1,4182,57585,
2754,30000,2,2,2,22,0,0,0,2,0,0,1,5800,160084,
2755,20000,1,1,2,22,0,0,0,0,0,0,0,5700,32584,
2756,240000,2,2,2,25,0,0,0,0,0,0,0,49074,1107576,
2757,200000,1,2,1,31,7,6,5,4,3,2,1,3428,1349984,
2758,70000,1,2,2,38,0,0,2,0,0,0,0,11192,178050,
2759,200000,2,1,2,23,-2,-2,-2,-2,-2,-2,0,3869,4257,
2760,150000,2,1,2,31,-1,-1,-1,0,0,0,0,150551,306945,
2761,160000,2,2,1,35,0,0,0,0,0,0,0,7500,49691,
2762,180000,2,1,2,30,0,0,0,0,0,0,0,117170,445850,
2763,190000,1,2,1,39,0,0,0,0,0,0,0,36000,875593,
2764,20000,2,2,1,22,0,0,0,0,0,0,0,8246,86396,
2765,150000,1,1,2,27,0,0,0,0,0,0,0,20100,479610,
2766,310000,1,2,1,35,0,0,0,0,0,0,0,17003,82647,
2767,180000,2,2,1,36,0,0,0,0,0,0,0,32825,491832,
2768,80000,2,2,2,24,0,0,0,0,0,0,1,20683,563303,
2769,350000,2,2,1,41,0,0,0,0,0,0,0,25016,490404,
2770,50000,2,2,1,47,0,0,0,0,-2,-2,0,3382,92803,
2771,90000,2,2,2,23,2,0,0,0,0,0,0,31499,286908,
2772,220000,1,2,1,35,0,0,-1,-1,-1,-1,0,211035,167295,
2773,50000,2,1,2,25,2,3,2,2,2,2,1,7400,266991,
2774,90000,1,3,1,46,-1,2,-1,-1,-1,-1,0,5898,5599,
2775,400000,2,2,1,30,0,0,-1,-1,-1,-1,0,80708,363182,
2776,210000,2,3,1,40,-1,-1,0,0,0,0,0,22362,36322,
2777,180000,2,2,1,39,2,2,2,2,2,0,1,30275,1001619,
2778,500000,1,1,1,55,-1,-1,-1,0,0,0,0,46924,69421,
2779,260000,2,2,1,39,2,0,0,2,0,0,1,56831,1285543,
2780,180000,2,2,2,26,0,0,0,0,0,-1,0,26865,64057,
2781,180000,2,2,1,34,-1,-1,-2,-2,-1,-1,1,600,8600,
2782,30000,2,1,2,24,0,0,0,0,0,0,0,7379,146379,
2783,360000,2,1,2,33,0,0,0,0,0,0,0,29700,117108,
2784,280000,2,1,1,47,-1,2,2,-1,0,0,0,2284,3623,
2785,100000,2,1,2,27,1,2,0,0,0,0,1,9737,292015,
2786,50000,2,2,1,49,0,0,0,0,-1,-1,0,10127,122833,
2787,20000,1,3,1,31,0,0,0,0,0,-2,0,3009,72905,
2788,80000,2,3,2,27,-2,-2,-2,-2,-2,-2,1,6246,7082,
2789,110000,2,2,2,36,1,-1,-1,-2,-2,-2,0,780,780,
2790,50000,1,1,3,25,1,-1,2,-1,0,-1,1,14652,19874,
2791,50000,2,2,1,50,0,0,0,-1,-1,-1,1,21346,136459,
2792,20000,1,1,2,33,0,0,0,2,0,0,0,5985,105781,
2793,200000,2,3,1,41,0,0,0,0,-2,-2,0,24177,320446,
2794,250000,2,2,2,44,1,-1,-1,0,0,0,0,72555,198181,
2795,150000,2,1,1,33,1,-2,-2,-2,-2,-2,1,0,0,
2796,50000,1,1,2,23,1,-2,-2,-2,-2,-2,1,0,0,
2797,200000,2,1,1,38,-1,-1,2,2,2,-1,0,22354,23479,
2798,220000,1,2,1,38,0,0,0,0,0,0,0,30803,770862,
2799,60000,2,2,1,36,-2,-2,-2,-2,-2,-2,0,24442,24442,
2800,100000,1,2,2,43,0,0,0,0,0,0,0,10293,282874,
2801,20000,1,3,3,46,0,0,0,0,0,-2,0,4000,66792,
2802,140000,1,2,2,28,1,3,4,3,2,0,1,11147,469838,
2803,50000,1,2,1,46,0,0,0,0,-2,-2,1,5000,118433,
2804,50000,1,1,2,28,0,0,0,0,0,0,0,8700,169634,
2805,120000,2,2,1,30,-1,-1,-1,-1,0,-1,0,4266,4952,
2806,120000,2,1,1,39,1,-2,-2,-2,-1,-1,0,915,915,
2807,30000,1,2,2,38,0,0,0,0,0,0,0,12518,171613,
2808,180000,2,1,2,26,1,-2,-2,-2,-1,-1,0,7848,7848,
2809,500000,1,1,1,46,0,0,0,0,0,-1,0,28783,327609,
2810,420000,1,1,1,44,0,0,0,0,0,0,0,226760,1759597,
2811,20000,2,2,1,45,0,0,0,0,2,0,0,5487,97897,
2812,50000,2,2,2,24,0,0,0,0,0,0,1,10001,251131,
2813,260000,2,2,2,30,0,0,0,0,0,0,0,17000,119798,
2814,50000,1,2,2,27,0,0,0,0,-1,-1,0,5079,149046,
2815,50000,2,1,2,26,-1,-1,-1,-1,-1,-1,0,9396,9946,
2816,50000,2,2,2,49,0,0,0,0,0,0,0,8896,274964,
2817,100000,1,2,1,49,0,0,0,0,0,0,0,16455,441571,
2818,50000,2,1,2,24,4,3,2,2,2,2,1,8400,237070,
2819,180000,2,1,2,27,0,0,0,0,0,0,0,34575,909765,
2820,240000,2,1,1,38,1,-2,-2,-2,-2,-2,0,100000,0,
2821,30000,1,2,1,38,2,0,0,0,0,-2,0,4713,117445,
2822,30000,2,3,1,60,-1,3,2,0,0,3,1,1801,22316,
2823,270000,2,1,1,45,0,0,0,0,0,0,0,16615,447495,
2824,30000,2,3,1,57,-1,-1,-1,-1,-1,-1,1,2197,2174,
2825,200000,2,2,1,31,-1,-1,-1,-1,-1,-1,1,11029,12228,
2826,40000,2,2,1,29,-1,0,0,-2,-2,-1,1,9080,26267,
2827,360000,2,1,1,31,-2,-2,-2,-2,-2,-2,0,86950,52295,
2828,150000,2,3,1,57,-1,-1,-1,-1,-1,-1,0,58608,58835,
2829,80000,2,2,2,24,0,0,0,0,0,2,1,3813,55107,
2830,300000,2,1,1,32,1,-1,-1,-1,-1,-1,0,183325,174793,
2831,220000,1,2,1,32,0,0,0,0,0,0,0,24066,739502,
2832,110000,2,2,1,42,-1,-1,-1,-1,-1,-1,0,4806,4806,
2833,50000,1,1,2,30,0,0,0,0,0,0,0,3534,40886,
2834,50000,2,3,2,60,0,0,0,0,0,0,0,7254,176359,
2835,230000,2,1,1,37,-1,-1,0,0,0,0,0,24680,83517,
2836,50000,1,1,1,27,2,2,2,2,0,0,1,13300,278301,
2837,240000,2,2,3,39,0,0,0,0,0,0,0,21209,622625,
2838,130000,2,1,2,26,0,-1,-1,-1,-2,-2,0,39376,11515,
2839,160000,2,1,2,34,0,0,0,0,0,0,0,8919,233654,
2840,210000,2,1,2,31,0,0,0,0,0,0,0,27036,699304,
2841,210000,2,2,2,32,-1,0,0,0,-1,-1,0,99257,107484,
